CODE,PERIOD,NR_TRIPS Y,NR_TRIPS N,DatabaseReleaseDate
ALB,2019037,2803,933,20200715
ALB,2019038,2756,953,20200715
ALB,2019039,3413,359,20200715
ALB,2019040,3905,139,20200715
ALB,2019041,3400,1237,20200715
ALB,2019042,4047,504,20200715
ALB,2019043,3997,381,20200715
ALB,2019044,4095,399,20200715
ALB,2019045,3701,375,20200715
ALB,2019046,3786,371,20200715
ALB,2019047,3991,338,20200715
ALB,2019048,4380,357,20200715
ALB,2019049,3266,239,20200715
ALB,2019050,3186,200,20200715
ALB,2019051,3315,230,20200715
ALB,2019052,3442,270,20200715
ALB,2020001,2805,512,20200715
ALB,2020002,3338,465,20200715
ALB,2020003,3420,532,20200715
ALB,2020004,3386,491,20200715
ALB,2020005,3443,516,20200715
ALB,2020006,3745,690,20200715
ALB,2020007,3950,807,20200715
ALB,2020008,3523,694,20200715
ALB,2020009,3500,681,20200715
ALB,2020010,3843,786,20200715
ALB,2020011,4483,822,20200715
ALB,2020012,4914,1146,20200715
ALB,2020013,3786,769,20200715
ALB,2020014,4176,1081,20200715
ALB,2020015,4559,1323,20200715
ALB,2020016,4284,1211,20200715
ALD,2019037,19186,226,20200715
ALD,2019038,19884,187,20200715
ALD,2019039,19449,165,20200715
ALD,2019040,20928,200,20200715
ALD,2019041,22631,309,20200715
ALD,2019042,23011,365,20200715
ALD,2019043,22323,266,20200715
ALD,2019044,23051,251,20200715
ALD,2019045,23254,248,20200715
ALD,2019046,23107,220,20200715
ALD,2019047,24153,236,20200715
ALD,2019048,24227,181,20200715
ALD,2019049,24629,192,20200715
ALD,2019050,27408,306,20200715
ALD,2019051,26965,3840,20200715
ALD,2019052,23621,4372,20200715
ALD,2020001,27301,5238,20200715
ALD,2020002,31581,5968,20200715
ALD,2020003,30702,5898,20200715
ALD,2020004,30598,6215,20200715
ALD,2020005,31610,6444,20200715
ALD,2020006,19526,7799,20200715
ALD,2020007,27205,6417,20200715
ALD,2020008,30841,6098,20200715
ALD,2020009,31254,6099,20200715
ALD,2020010,32096,6342,20200715
ALD,2020011,37213,7831,20200715
ALD,2020012,33604,6660,20200715
ALD,2020013,23546,4939,20200715
ALD,2020014,25562,5900,20200715
ALD,2020015,25930,6098,20200715
ALD,2020016,21457,5131,20200715
AMZ,2019039,14838,2456,20200715
AMZ,2019040,113462,18956,20200715
AMZ,2019041,111072,24592,20200715
AMZ,2019042,120113,19427,20200715
AMZ,2019043,122071,19165,20200715
AMZ,2019044,114951,17262,20200715
AMZ,2019045,119714,17475,20200715
AMZ,2019046,124632,17497,20200715
AMZ,2019047,128583,17665,20200715
AMZ,2019048,153477,18988,20200715
AMZ,2019049,160760,25887,20200715
AMZ,2019050,145611,44287,20200715
AMZ,2019051,153784,42606,20200715
AMZ,2019052,105454,23470,20200715
AMZ,2020001,101366,9381,20200715
AMZ,2020002,97977,9263,20200715
AMZ,2020003,95935,8647,20200715
AMZ,2020004,93083,8157,20200715
AMZ,2020005,89481,7919,20200715
AMZ,2020006,85043,7849,20200715
AMZ,2020007,84205,7835,20200715
AMZ,2020008,80146,7065,20200715
AMZ,2020009,89521,8488,20200715
AMZ,2020010,84490,7997,20200715
AMZ,2020011,81703,6426,20200715
AMZ,2020012,85850,5132,20200715
AMZ,2020013,77646,4518,20200715
AMZ,2020014,80954,4808,20200715
AMZ,2020015,78078,4654,20200715
AMZ,2020016,89251,7457,20200715
AMPM,2019037,145,1,20200715
AMPM,2019038,128,0,20200715
AMPM,2019039,126,0,20200715
AMPM,2019040,155,0,20200715
AMPM,2019041,133,0,20200715
AMPM,2019042,172,0,20200715
AMPM,2019043,138,0,20200715
AMPM,2019044,161,0,20200715
AMPM,2019045,113,0,20200715
AMPM,2019046,128,0,20200715
AMPM,2019047,133,0,20200715
AMPM,2019048,119,0,20200715
AMPM,2019049,90,0,20200715
AMPM,2019050,45,0,20200715
AMPM,2019051,122,0,20200715
AMPM,2019052,90,0,20200715
AMPM,2020001,126,0,20200715
AMPM,2020002,146,0,20200715
AMPM,2020003,117,6,20200715
AMPM,2020004,138,9,20200715
AMPM,2020005,125,4,20200715
AMPM,2020006,125,8,20200715
AMPM,2020007,125,9,20200715
AMPM,2020008,107,14,20200715
AMPM,2020009,56,4,20200715
AMPM,2020010,74,6,20200715
AMPM,2020011,64,13,20200715
AMPM,2020012,38,12,20200715
AMPM,2020013,27,11,20200715
AMPM,2020014,41,25,20200715
AMPM,2020015,29,14,20200715
AMPM,2020016,37,22,20200715
BJS,2019037,3975,109,20200715
BJS,2019038,4023,28,20200715
BJS,2019039,3850,0,20200715
BJS,2019040,4188,0,20200715
BJS,2019041,4595,0,20200715
BJS,2019042,4703,0,20200715
BJS,2019043,4441,0,20200715
BJS,2019044,4846,0,20200715
BJS,2019045,2970,0,20200715
BJS,2019046,4693,0,20200715
BJS,2019047,4764,0,20200715
BJS,2019048,4986,0,20200715
BJS,2019049,4536,0,20200715
BJS,2019050,4736,0,20200715
BJS,2019051,5263,97,20200715
BJS,2019052,4345,130,20200715
BJS,2020001,4889,95,20200715
BJS,2020002,4983,53,20200715
BJS,2020003,4724,172,20200715
BJS,2020004,4775,212,20200715
BJS,2020005,5071,257,20200715
BJS,2020006,4660,278,20200715
BJS,2020007,4722,278,20200715
BJS,2020008,4769,283,20200715
BJS,2020009,5301,356,20200715
BJS,2020010,5869,584,20200715
BJS,2020011,6979,1363,20200715
BJS,2020012,6105,1263,20200715
BJS,2020013,4639,525,20200715
BJS,2020014,4863,542,20200715
BJS,2020015,4746,521,20200715
BJS,2020016,4419,483,20200715
CAS,2019037,2746,512,20200715
CAS,2019038,2794,519,20200715
CAS,2019039,2644,427,20200715
CAS,2019040,3035,109,20200715
CAS,2019041,2954,0,20200715
CAS,2019042,3041,1,20200715
CAS,2019043,2718,0,20200715
CAS,2019044,2692,3,20200715
CAS,2019045,2618,0,20200715
CAS,2019046,2631,1,20200715
CAS,2019047,2426,2,20200715
CAS,2019048,2647,0,20200715
CAS,2019049,2641,1,20200715
CAS,2019050,2741,3,20200715
CAS,2019051,2535,3,20200715
CAS,2019052,2405,15,20200715
CAS,2020001,2585,37,20200715
CAS,2020002,2887,43,20200715
CAS,2020003,2818,72,20200715
CAS,2020004,2825,92,20200715
CAS,2020005,3005,98,20200715
CAS,2020006,3000,120,20200715
CAS,2020007,3275,186,20200715
CAS,2020008,3157,154,20200715
CAS,2020009,3136,156,20200715
CAS,2020010,3280,183,20200715
CAS,2020011,3125,273,20200715
CAS,2020012,2362,265,20200715
CAS,2020013,1399,688,20200715
CAS,2020014,1369,923,20200715
CAS,2020015,1473,978,20200715
CAS,2020016,1458,1007,20200715
CIK,2019037,7747,161,20200715
CIK,2019038,7813,0,20200715
CIK,2019039,7681,0,20200715
CIK,2019040,8163,0,20200715
CIK,2019041,8218,0,20200715
CIK,2019042,8040,0,20200715
CIK,2019043,7984,0,20200715
CIK,2019044,7993,0,20200715
CIK,2019045,7364,0,20200715
CIK,2019046,7311,0,20200715
CIK,2019047,6837,0,20200715
CIK,2019048,7034,0,20200715
CIK,2019049,7679,0,20200715
CIK,2019050,7221,2,20200715
CIK,2019051,6789,12,20200715
CIK,2019052,6295,4,20200715
CIK,2020001,6895,4,20200715
CIK,2020002,7647,27,20200715
CIK,2020003,7214,477,20200715
CIK,2020004,7600,291,20200715
CIK,2020005,7623,194,20200715
CIK,2020006,7334,305,20200715
CIK,2020007,7154,283,20200715
CIK,2020008,7282,324,20200715
CIK,2020009,7845,348,20200715
CIK,2020010,8110,379,20200715
CIK,2020011,7654,216,20200715
CIK,2020012,6575,201,20200715
CIK,2020013,5185,255,20200715
CIK,2020014,5309,296,20200715
CIK,2020015,5365,339,20200715
CIK,2020016,5479,395,20200715
CIT,2019037,636,30,20200715
CIT,2019038,685,29,20200715
CIT,2019039,673,5,20200715
CIT,2019040,740,0,20200715
CIT,2019041,784,0,20200715
CIT,2019042,701,0,20200715
CIT,2019043,709,0,20200715
CIT,2019044,750,0,20200715
CIT,2019045,695,0,20200715
CIT,2019046,673,0,20200715
CIT,2019047,647,0,20200715
CIT,2019048,637,0,20200715
CIT,2019049,638,0,20200715
CIT,2019050,236,0,20200715
CIT,2019051,587,0,20200715
CIT,2019052,510,0,20200715
CIT,2020001,589,0,20200715
CIT,2020002,720,1,20200715
CIT,2020003,675,27,20200715
CIT,2020004,646,47,20200715
CIT,2020005,682,56,20200715
CIT,2020006,610,45,20200715
CIT,2020007,627,52,20200715
CIT,2020008,730,44,20200715
CIT,2020009,775,71,20200715
CIT,2020010,772,74,20200715
CIT,2020011,691,182,20200715
CIT,2020012,652,147,20200715
CIT,2020013,427,124,20200715
CIT,2020014,462,176,20200715
CIT,2020015,425,153,20200715
CIT,2020016,426,181,20200715
COS,2019037,19143,1036,20200715
COS,2019038,19936,180,20200715
COS,2019039,20091,160,20200715
COS,2019040,22532,204,20200715
COS,2019041,22565,219,20200715
COS,2019042,22927,204,20200715
COS,2019043,22136,164,20200715
COS,2019044,22736,210,20200715
